"Lowercase";"English Minimal Stemmer";"English Possessive Stemmer";"Snowball Porter Stemmer";"KStemmer";"ConceptNet Synonyms";"ConceptNet Related To";"MAP"
0;0;0;0;0;0;0;0.1102555035767656
0;0;0;0;0;1;0;0.1102555035767656
0;0;0;0;0;0;1;0.1102555035767656
0;1;0;0;0;0;0;0.11444893931087649
0;1;0;0;0;1;0;0.11444893931087649
0;1;0;0;0;0;1;0.11444893931087649
0;0;1;0;0;0;0;0.1102555035767656
0;0;1;0;0;1;0;0.1102555035767656
0;0;1;0;0;0;1;0.1102555035767656
0;0;0;1;0;0;0;0.11371811678347114
0;0;0;1;0;1;0;0.11371811678347114
0;0;0;1;0;0;1;0.11371811678347114
0;0;0;0;1;0;0;0.1102555035767656
0;0;0;0;1;1;0;0.1102555035767656
0;0;0;0;1;0;1;0.1102555035767656
1;0;0;0;0;0;0;0.3694897971812625
1;0;0;0;0;1;0;0.32046283370421014
1;0;0;0;0;0;1;0.3351774436491475
1;1;0;0;0;0;0;0.37651750532222844
1;1;0;0;0;1;0;0.3321658656166579
1;1;0;0;0;0;1;0.34472076242107574
1;0;1;0;0;0;0;0.3694897971812625
1;0;1;0;0;1;0;0.32046283370421014
1;0;1;0;0;0;1;0.3351774436491475
1;0;0;1;0;0;0;0.362140264418371
1;0;0;1;0;1;0;0.28413229564578585
1;0;0;1;0;0;1;0.3521911238206617
1;0;0;0;1;0;0;0.3703651561272844
1;0;0;0;1;1;0;0.32221831132461637
1;0;0;0;1;0;1;0.3388792735128612
