"LABEL";"COMMENT";"IO_NAME";"IO_JSONPATH";"IO_DESCRIPTION";"OPERATION_ID";"OPERATION_DESCRIPTION";"SERVICE_DESCRIPTION";"MeanAveragePrecision"
1;0;1;0;0;0;0;0;0.27911198859997105
1;0;0;0;1;0;0;0;0.09218440290353942
1;0;0;1;0;0;0;0;0.2304302599944568
1;0;0;0;0;1;0;0;0.1504177923596805
1;0;0;0;0;0;1;0;0.13854266726887352
1;0;0;0;0;0;0;1;0.09155427598240562
0;1;1;0;0;0;0;0;0.20772023008115334
0;1;0;0;1;0;0;0;0.05197792498223028
0;1;0;1;0;0;0;0;0.17079381054385792
0;1;0;0;0;1;0;0;0.09675201617064935
0;1;0;0;0;0;1;0;0.04555085497458458
0;1;0;0;0;0;0;1;0.04240545939435016
